Time,X,Y,Z,Displacement [mm]
2026-04-03T15:12:43.644,      -0.02,        1.61,        0.00,       1.61
2026-04-03T15:12:44.161,       0.01,        1.71,        0.02,       1.71
2026-04-03T15:12:44.677,      -0.01,        1.84,       -0.01,       1.84
2026-04-03T15:12:45.194,       0.02,        1.87,        0.10,       1.87
2026-04-03T15:12:45.757,       0.00,        1.97,        0.02,       1.97
2026-04-03T15:12:46.260,       0.01,        1.96,        0.01,       1.96
2026-04-03T15:12:46.772,      -0.00,        1.95,        0.04,       1.95
2026-04-03T15:12:47.290,      -0.03,        1.97,        0.09,       1.97
2026-04-03T15:12:47.804,      -0.03,        1.98,       -0.02,       1.98
2026-04-03T15:12:48.323,      -0.03,        1.99,        0.02,       1.99
2026-04-03T15:12:48.891,      -0.03,        1.99,       -0.02,       1.99
2026-04-03T15:12:49.437,      -0.02,        1.98,       -0.04,       1.98
2026-04-03T15:12:49.956,      -0.02,        1.97,       -0.02,       1.97
2026-04-03T15:12:50.472,      -0.00,        1.95,       -0.02,       1.95
2026-04-03T15:12:50.986,      -0.01,        1.97,        0.01,       1.97
2026-04-03T15:12:51.500,      -0.01,        1.98,       -0.05,       1.98
2026-04-03T15:12:52.016,       0.02,        1.98,        0.01,       1.98
2026-04-03T15:12:52.536,       0.02,        1.98,       -0.02,       1.98
2026-04-03T15:12:53.083,       0.02,        1.96,       -0.02,       1.96
2026-04-03T15:12:53.598,       0.03,        1.96,        0.01,       1.96
2026-04-03T15:12:54.118,       0.03,        1.87,       -0.00,       1.87
2026-04-03T15:12:54.635,      -0.01,        1.79,       -0.00,       1.79
2026-04-03T15:12:55.147,      -0.00,        1.66,       -0.02,       1.66
2026-04-03T15:12:55.664,      -0.04,        1.56,       -0.02,       1.56
2026-04-03T15:12:56.180,      -0.04,        1.42,        0.04,       1.42
2026-04-03T15:12:56.683,       0.00,        1.27,        0.03,       1.27
2026-04-03T15:12:57.195,      -0.03,        1.13,        0.01,       1.13
2026-04-03T15:12:57.710,      -0.03,        1.00,        0.03,       1.00
2026-04-03T15:12:58.227,      -0.01,        0.86,        0.01,       0.86
2026-04-03T15:12:58.730,       0.03,        0.72,       -0.06,       0.73
2026-04-03T15:12:59.242,      -0.00,        0.61,       -0.01,       0.61
2026-04-03T15:12:59.759,      -0.00,        0.43,        0.00,       0.43
2026-04-03T15:13:00.275,      -0.02,        0.36,       -0.03,       0.36
2026-04-03T15:13:00.778,      -0.01,        0.18,       -0.05,       0.18
2026-04-03T15:13:01.290,       0.04,        0.08,        0.02,       0.09
2026-04-03T15:13:01.806,       0.03,        0.03,        0.03,       0.05
2026-04-03T15:13:02.323,       0.01,        0.02,       -0.07,       0.08
2026-04-03T15:13:02.842,       0.00,        0.03,       -0.11,       0.11
2026-04-03T15:13:03.358,      -0.01,       -0.00,       -0.04,       0.04
2026-04-03T15:13:03.875,      -0.01,        0.01,       -0.01,       0.02
2026-04-03T15:13:04.388,      -0.01,       -0.01,       -0.03,       0.03
2026-04-03T15:13:04.902,      -0.01,        0.02,       -0.01,       0.03
2026-04-03T15:13:05.405,       0.01,       -0.01,       -0.04,       0.04
2026-04-03T15:13:05.938,       0.01,        0.01,        0.00,       0.01
2026-04-03T15:13:06.501,      -0.02,        0.01,        0.02,       0.03
2026-04-03T15:13:07.004,      -0.02,       -0.01,       -0.04,       0.04
2026-04-03T15:13:07.521,      -0.01,       -0.01,       -0.03,       0.03
2026-04-03T15:13:08.036,      -0.02,        0.02,       -0.02,       0.03
2026-04-03T15:13:08.550,       0.00,       -0.01,       -0.04,       0.04
2026-04-03T15:13:09.067,      -0.00,       -0.01,       -0.04,       0.04
2026-04-03T15:13:09.569,      -0.00,       -0.00,       -0.00,       0.00
2026-04-03T15:13:10.084,      -0.01,       -0.02,       -0.02,       0.03
2026-04-03T15:13:10.598,      -0.01,       -0.02,       -0.01,       0.02
2026-04-03T15:13:11.114,      -0.00,       -0.03,       -0.01,       0.03
2026-04-03T15:13:11.629,       0.00,       -0.01,       -0.04,       0.04
